id,food_name,food_name2_no_quotation,food_group,nutrition_group,Edible conversion factor,Energy_kj,Energy_kcal ,Water,Protein,Fat,Carbohydrate available ,Fibre,Ash,Ca,Fe,Mg,P,K,Na,Zn,Se,Vit A-RAE,Vit A-RE,Retinol ,b-carotene equivalent ,Thiamin ,Riboflavin ,Niacin,Dietary Folate Eq.,Food folate ,Vit B12 ,Vit C,food_group_unicef
5036,"Tangerine, pulp, raw","Tangerine, pulp, raw",FRUITS,,0.75,218,52,86.2,0.87,0.2,10.8,1.5,0.4,26,0,17,17,150,2,0.1,1,1,2,0,10,0.08,0.05,0.3,24,24,0,36,Other fruits and vegetables 
5029,"Pineapple, canned in syrup, whole contents","Pineapple, canned in syrup, whole contents",FRUITS,,1,393,93,77,0.3,0.6,21.2,0.7,0.2,4,0.4,11,3,80,6,0,1,1,1,0,8,0.05,0,0,5,5,0,9,Other fruits and vegetables 
5005,"Baobab fruit, powderly part, dry, raw","Baobab fruit, powderly part, dry, raw",FRUITS,,0.23,1335,315,13.1,2.3,0.4,72.2,[6.8],5.2,283,5,108,56,1613,56,0.88,24,0,0,0, tr,0.04,0.2,1.5,50,50,0,13.7,Other fruits and vegetables 
5006,"Custard apple, peeled, raw","Custard apple, peeled, raw",FRUITS,,0.72,386,92,75,1.7,[0.7],17,5.1,0.8,28,0.4,38,22,278,3,0,0,0,0,0,0,0.07,0.13,0.7,37,37,0,22,Other fruits and vegetables 
5034,"Strawberry, raw","Strawberry, raw",FRUITS,,0.96,146,35,90,0.7,0.2,6.3,2.5,0.4,19,0.6,8,27,158,3,0.18,1,0,0,0,1,0.03,0.02,0.1,39,39,0,49,Other fruits and vegetables 
4007,"Cabbage, leaf head, white, raw","Cabbage, leaf head, white, raw",VEGETABLE AND VEGETABLE PROCUCTS,,0.78,76,18,93.8,1.1,[0.1],2.2,2.2,0.7,47,0.5,9,40,313,37,0.2,1,tr,tr,0,tr,0.04,0.04,0.4,15,15,0,50,Other fruits and vegetables 
4050,"Cabbage, leaf head, white, boiled, drained (without salt)","Cabbage, leaf head, white, boiled, drained (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,78,19,93.6,1.1,0.1,2.2,2.3,0.7,45,0.4,6,36,159,29,0.18,0,tr,tr,0,tr,0.03,0.03,0.3,8,8,0,20,Other fruits and vegetables 
4051,"Cabbage, leaf head, white, stewed (without salt)","Cabbage, leaf head, white, stewed (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,82,20,93.3,1.2,0.1,2.4,2.4,0.7,50,0.5,10,43,336,40,0.25,1,tr,tr,0,tr,0.04,0.04,0.4,11,11,0,32,Vitamin A rich fruits and Vegetable 
4011,"Carrot, peeled, raw","Carrot, peeled, raw",VEGETABLE AND VEGETABLE PROCUCTS,,0.83,124,30,90.6,0.7,[0.2],4.5,3.2,0.6,33,0.6,17,25,251,35,0.14,0,589,1180,0,7070,0.04,0.03,0.22,18,18,0,5.5,Vitamin A rich fruits and Vegetable 
4061,"Carrot, peeled, boiled, drained (without salt)","Carrot, peeled, boiled, drained (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,132,32,90,0.8,0.3,4.8,3.4,0.7,34,0.5,11,24,120,21,0.11,0,564,1130,0,6770,0.03,0.02,0.2,10,10,0,2,Vitamin A rich fruits and Vegetable 
4062,"Carrot, peeled, stewed (without salt)","Carrot, peeled, stewed (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,129,31,90.2,0.8,0.2,4.7,3.4,0.7,35,0.6,17,26,261,37,0.14,0,552,1110,0,6630,0.04,0.03,0.2,13,13,0,5,Vitamin A rich fruits and Vegetable 
4040,"Amaranth, leaves, picked, stewed (without salt)","Amaranth, leaves, picked, stewed (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,,186,45,81,4.6,0.3,1.5,8.9,3.8,346,8.3,151,110,737,22,1.14,27,362,725,0,4347,0.03,0.26,0.8,55,55,0,57,Vitamin A rich fruits and Vegetable 
4001,"Amaranth, leaves, picked, raw","Amaranth, leaves, picked, raw",VEGETABLE AND VEGETABLE PROCUCTS,,0.59,150,36,84.6,3.7,[0.2],1.3,7.2,3.1,280,6.8,122,89,597,18,0.92,22,326,652,0,3913,0.03,0.22,0.69,64,64,0,77,Vitamin A rich fruits and Vegetable 
4039,"Amaranth, leaves, picked, boiled, drained (without salt)","Amaranth, leaves, picked, boiled, drained (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,158,38,83.8,3.9,0.3,1.3,7.6,3.2,280,5.3,77,84,314,14,0.73,20,309,618,0,3707,0.02,0.15,0.5,34,34,0,33,Vitamin A rich fruits and Vegetable 
4071,"Jute mallow, picked leaves, stewed (without salt)","Jute mallow, picked leaves, stewed (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,231,56,78.2,5.7,0.2,2.6,10.2,3.1,255,7.8,37,109,349,23,0.72,1,241,482,0,2892,0.1,0.4,0.6,101,101,0,32.2,Vitamin A rich fruits and Vegetable 
4018,"Jute mallow, picked leaves, raw","Jute mallow, picked leaves, raw",VEGETABLE AND VEGETABLE PROCUCTS,,0.48,187,45,82.3,4.6,[0.2],2.1,8.3,2.5,207,6.3,30,88,283,18,0.58,1,217,434,0,2603,0.09,0.34,0.53,117,117,0,44.5,Vitamin A rich fruits and Vegetable 
4029,"Spider plant, leaves, raw","Spider plant, leaves, raw",VEGETABLE AND VEGETABLE PROCUCTS,,0.28,180,43,85,4.8,[0.8],2.1,4.3,3,189,2.6,48,49,478,19,0.76,2,217,434,0,2603,0.1,0.12,1.3,346,346,0,64,Vitamin A rich fruits and Vegetable 
4091,"Spinach, Swiss chard, leaves, stewed (without salt)","Spinach, Swiss chard, leaves, stewed (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,126,30,88,3.9,0.3,0.9,4.5,2.5,144,5.4,96,62,430,1101,0.9,1,211,422,0,2530,0.03,0.12,0.7,105,105,0,18,Vitamin A rich fruits and Vegetable 
4089,"Spinach, leaves, stewed (without salt)","Spinach, leaves, stewed (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,139,33,87.4,3.5,0.4,1.4,5.1,2.2,161,2.1,89,35,704,72,0.74,1,209,419,0,2510,0.03,0.21,0.5,95,95,0,27,Vitamin A rich fruits and Vegetable 
4070,"Jute mallow, picked leaves, boiled, drained (without salt)","Jute mallow, picked leaves, boiled, drained (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,197,47,81.4,4.9,0.2,2.2,8.7,2.6,207,5,19,84,149,14,0.46,1,205,411,0,2466,0.06,0.23,0.4,61,61,0,18.3,Vitamin A rich fruits and Vegetable 
4031,"Spinach, Swiss chard, leaves, raw","Spinach, Swiss chard, leaves, raw",VEGETABLE AND VEGETABLE PROCUCTS,,0.5,102,25,90.3,3.1,[0.2],0.7,3.6,2,117,4.4,78,50,348,892,0.73,1,190,380,0,2280,0.03,0.1,0.6,121,121,0,24,Vitamin A rich fruits and Vegetable 
4034,Sweet Potato (Leaves),Sweet Potato (Leaves),VEGETABLE AND VEGETABLE PROCUCTS,,1,150,36,87.6,4.3,0.5,0.8,5.3,1.4,118,1,61,30,620,6,0.29,1,189,378,0,2270,0.1,0.35,1.1,1,1,0,11,Vitamin A rich fruits and Vegetable 
4030,"Spinach, leaves, raw","Spinach, leaves, raw",VEGETABLE AND VEGETABLE PROCUCTS,,0.74,112,27,89.8,2.8,0.4,1.1,4.1,1.8,131,1.7,72,28,570,59,1,1,189,377,0,2260,0.03,0.18,0.4,110,110,0,37,Vitamin A rich fruits and Vegetable 
4086,"Spider plant, leaves, boiled, drained (without salt)","Spider plant, leaves, boiled, drained (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,172,41,85.7,4.6,0.7,2,4.1,2.9,171,1.9,27,42,228,13,0.54,2,186,372,0,2231,0.06,0.07,0.8,165,165,0,24,Vitamin A rich fruits and Vegetable 
4038,"Vine (African) spinach, picked leaves, raw","Vine (African) spinach, picked leaves, raw",VEGETABLE AND VEGETABLE PROCUCTS,,0.94,117,28,90.4,3.4,0.7,0.2,3.7,1.6,267,10.9,40,56,446,8,0.5,tr,184,369,0,2210,0.1,0.2,0.9,71,71.3,0,79.8,Vitamin A rich fruits and Vegetable 
4090,"Spinach, Swiss chard, leaves, boiled, drained (without salt)","Spinach, Swiss chard, leaves, boiled, drained (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,108,26,89.8,3.3,0.2,0.8,3.8,2.1,117,3.5,49,47,183,704,0.58,1,180,360,0,2160,0.02,0.07,0.4,64,64,0,10,Vitamin A rich fruits and Vegetable 
4088,"Spinach, leaves, boiled, drained (without salt)","Spinach, leaves, boiled, drained (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,118,28,89.3,2.9,0.4,1.2,4.3,1.9,131,1.4,45,27,300,46,0.47,0,179,357,0,2140,0.02,0.12,0.3,58,58,0,15,Vitamin A rich fruits and Vegetable 
4020,Kale (sukuma wiki) raw,Kale (sukuma wiki) raw,VEGETABLE AND VEGETABLE PROCUCTS,,0.88,121,29,89.2,3,[0.3],1.2,4.7,1.6,402,2.8,41,67,238,71,0.5,0,177,355,0,2127,0.11,0.13,1,62,62,0,134,Vitamin A rich fruits and Vegetable 
4099,"Vine (African) spinach, picked leaves, boiled, drained (without salt)","Vine (African) spinach, picked leaves, boiled, drained (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,123,30,89.9,3.6,0.7,0.2,3.9,1.7,267,8.6,25,53,234,6,0.36,0,175,349,0,2100,0.04,0.14,0.6,38,38,0,34,Vitamin A rich fruits and Vegetable 
4087,"Spider plant, leaves, steamed (without salt)","Spider plant, leaves, steamed (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,157,38,86.9,4.2,0.7,1.9,3.8,2.6,156,1.8,37,40,353,14,0.59,1,170,339,0,2037,0.07,0.09,0.9,181,181,0,31,Vitamin A rich fruits and Vegetable 
4094,"Squash, butternut, peeled, flesh, baked (without salt)","Squash, butternut, peeled, flesh, baked (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,214,51,85.1,1.7,0.1,9.2,2.9,1,21,1.2,19,23,390,9,0.23,1,169,339,0,2030,0.07,0.06,1.1,26,26,0,8,Vitamin A rich fruits and Vegetable 
4092,"Squash, butternut, peeled, flesh, boiled, drained (without salt)","Squash, butternut, peeled, flesh, boiled, drained (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,204,48,85.7,1.6,0.1,8.8,2.8,0.9,19,0.8,11,20,186,7,0.16,1,162,324,0,1940,0.05,0.04,0.7,18,18,0,6,Vitamin A rich fruits and Vegetable 
4093,"Squash, butternut, peeled, flesh, steamed (without salt)","Squash, butternut, peeled, flesh, steamed (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,204,48,85.7,1.6,0.1,8.8,2.8,0.9,19,0.9,16,21,317,7,0.2,1,162,324,0,1940,0.06,0.06,0.9,21,21,0,7,Vitamin A rich fruits and Vegetable 
4032,"Squash, butternut, peeled, flesh, raw","Squash, butternut, peeled, flesh, raw",VEGETABLE AND VEGETABLE PROCUCTS,,0.85,182,43,87.3,1.5,[0.1],7.8,2.5,0.8,18,1,16,19,332,7.7,0.2,1,160,320,0,1920,0.07,0.06,1.02,31,31,0,8,Vitamin A rich fruits and Vegetable 
4074,"Kale (sukuma wiki), boiled, drained (without salt)","Kale (sukuma wiki), boiled, drained (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,115,28,89.7,2.9,0.3,1.2,4.4,1.5,364,2,23,57,113,51,0.34,0,152,304,0,1823,0.07,0.08,0.6,30,30,0,51,Vitamin A rich fruits and Vegetable 
4028,"Pumpkin, leaves, raw","Pumpkin, leaves, raw",VEGETABLE AND VEGETABLE PROCUCTS,,0.82,156,37,87.3,4.2,[0.7],2.2,2.3,3.2,383,5.6,142,119,423,12,0.9,1,141,283,0,1695,0.07,0.12,1.49,36,36,,12.3,Vitamin A rich fruits and Vegetable 
4075,"Kale (sukuma wiki), steamed (without salt)","Kale (sukuma wiki), steamed (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,105,25,90.6,2.6,0.3,1.1,4.1,1.4,332,2,32,55,176,53,0.37,0,139,277,0,1665,0.08,0.1,0.7,33,33,0,64,Vitamin A rich fruits and Vegetable 
4027,"Pumpkin, flesh, yellow w/o seeds, raw","Pumpkin, flesh, yellow w/o seeds, raw",VEGETABLE AND VEGETABLE PROCUCTS,,0.8,134,32,90.3,1.2,[0.2],5.2,2.4,0.7,17,0.2,12,31,178,14,0.21,1,126,252,0,1512,0.07,0.06,0.78,50,50,0,8,Vitamin A rich fruits and Vegetable 
4082,"Pumpkin, flesh, yellow w/o seeds, boiled, drained (without salt)","Pumpkin, flesh, yellow w/o seeds, boiled, drained (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,146,35,89.5,1.3,0.2,5.6,2.6,0.8,18,0.2,8,30,97,11,0.17,0,123,246,0,1479,0.05,0.04,0.5,27,27,0,6,Vitamin A rich fruits and Vegetable 
4084,"Pumpkin, leaves, boiled, drained (without salt)","Pumpkin, leaves, boiled, drained (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,148,35,87.9,4,0.7,2.1,2.1,3.1,347,4,81,102,201,9,0.64,1,121,242,0,1453,0.04,0.07,0.9,17,17,0,5,Vitamin A rich fruits and Vegetable 
4019,"Kale, Ethiopian (kanzera), leaves, raw","Kale, Ethiopian (kanzera), leaves, raw",VEGETABLE AND VEGETABLE PROCUCTS,,0.61,113,27,90.4,3.3,0.6,0.2,4,1.6,117,5.7,54,51,639,7,0.7,tr,118,236,0,1418,0.06,0.23,0.9,73,73,0,134,Vitamin A rich fruits and Vegetable 
4085,"Pumpkin, leaves, steamed (without salt)","Pumpkin, leaves, steamed (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,135,32,89,3.7,0.6,1.9,2,2.8,316,3.9,111,98,313,9,0.7,1,111,221,0,1327,0.05,0.09,1,19,19,0,6,Vitamin A rich fruits and Vegetable 
4022,"Lettuce, not further defined, raw","Lettuce, not further defined, raw",VEGETABLE AND VEGETABLE PROCUCTS,,1,73,17,94.4,1.2,0.2,1.9,1.6,0.7,47,1.6,24,55,201,20,0.26,1,107,214,0,1285,0.08,0.05,0.26,66,66,0,10,Vitamin A rich fruits and Vegetable 
4072,"Kale, Ethiopian (kanzera), leaves, boiled, drained (without salt)","Kale, Ethiopian (kanzera), leaves, boiled, drained (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,108,26,90.8,3.1,0.6,0.2,3.8,1.5,105,4,31,43,304,5,0.48,tr,101,203,0,1215,0.04,0.14,0.6,35,35,0,51,Vitamin A rich fruits and Vegetable 
4083,"Pumpkin, flesh, yellow w/o seeds, boiled, drained (without salt)","Pumpkin, flesh, yellow w/o seeds, boiled, drained (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,,119,28,91.4,1.1,0.2,4.6,2.1,0.7,15,0.2,11,27,157,12,0.19,0,100,201,0,1204,0.06,0.05,0.7,31,31,0,6,Vitamin A rich fruits and Vegetable 
4073,"Kale, Ethiopian (kanzera), leaves, steamed (without salt)","Kale, Ethiopian (kanzera), leaves, steamed (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,99,24,91.6,2.8,0.5,0.2,3.5,1.4,96,3.9,42,42,472,5,0.52,tr,92,185,0,1109,0.04,0.18,0.6,38,38,0,64,Other fruits and vegetables 
4013,"Celery, stalk, raw","Celery, stalk, raw",VEGETABLE AND VEGETABLE PROCUCTS,,0.65,114,27,90.9,0.6,0.1,5.3,1.4,1.8,70,1,19,50,267,28,0.21,2,39,78,0,465,0.03,0.03,0.4,13,13,0,12,Other fruits and vegetables 
4064,"Celery, stalk, boiled, drained (without salt)","Celery, stalk, boiled, drained (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,127,30,89.9,0.7,0.1,5.8,1.6,1.9,74,0.8,13,50,148,23,0.18,2,39,78,0,465,0.02,0.02,0.3,7,7,0,9,Other fruits and vegetables 
4015,"Cowpea, leaves, picked, raw","Cowpea, leaves, picked, raw",VEGETABLE AND VEGETABLE PROCUCTS,,0.59,123,30,88.7,3.4,[0.4],0.7,4.9,1.9,188,2.7,47,17,485,31,1,1,36,72,0,0,0.49,0.37,1.6,95,95,0,50,Other fruits and vegetables 
4098,"Tomato, red, ripe, boiled, drained (without salt)","Tomato, red, ripe, boiled, drained (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,118,28,91.8,1.3,0.3,4.2,1.8,0.7,10,0.8,7,28,81,20,0.35,0,30,61,0,365,0.04,0.04,0.5,16,16,0,21,Other fruits and vegetables 
4052,"Capsicum (sweet peper), green, boiled, drained (without salt)","Capsicum (sweet peper), green, boiled, drained (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,109,26,92.3,1.7,0.1,3.3,2.3,0.2,9,0.5,7,18,87,2,0.16,0,28,57,0,339,0.02,0.02,0.4,5,5,0,86,Other fruits and vegetables 
4037,"Tomato, canned, whole contents","Tomato, canned, whole contents",VEGETABLE AND VEGETABLE PROCUCTS,,1,84,20,94,1,0.1,3.1,1.3,0.5,22,0.6,11,20,204,68,0.16,1,28,56,0,334,0,0,0.6,26,26,0,6,Other fruits and vegetables 
4008,"Capsicum (sweet peper), green, raw","Capsicum (sweet peper), green, raw",VEGETABLE AND VEGETABLE PROCUCTS,,0.4,95,23,93.3,1.5,0.1,2.9,2,0.2,8,0.5,10,17,151,2,0.18,0,27,55,0,328,0.03,0.03,0.5,8,8,0,115,Other fruits and vegetables 
4053,"Capsicum (sweet peper), green, grilled (without salt and fat)","Capsicum (sweet peper), green, grilled (without salt and fat)",VEGETABLE AND VEGETABLE PROCUCTS,,1,102,24,92.8,1.6,0.1,3.1,2.2,0.2,9,0.6,11,18,162,2,0.19,0,26,53,0,317,0.03,0.03,0.5,6,6,0,99,Other fruits and vegetables 
4036,"Tomato, red, ripe, raw","Tomato, red, ripe, raw",VEGETABLE AND VEGETABLE PROCUCTS,,0.98,92,22,93.6,1,[0.2],3.3,1.4,0.5,8,0.9,9.5,25,126,21,0.37,0,26,53,0,316,0.04,0.04,0.5,25,25,0,25,Other fruits and vegetables 
4004,"Broccoli, tops and stems, raw","Broccoli, tops and stems, raw",VEGETABLE AND VEGETABLE PROCUCTS,,0.6,143,34,89,3.3,0.3,2.7,3.7,1,66,0.8,21,75,336,22,1,1,25,51,0,303,0.1,0.22,0.5,48,48,0,103,Other fruits and vegetables 
4054,"Capsicum (sweet peper), green, baked (without salt)","Capsicum (sweet peper), green, baked (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,98,23,93,1.6,0.1,3,2.1,0.2,8,0.6,10,18,157,2,0.19,0,26,51,0,308,0.03,0.03,0.5,6,6,0,96,Other fruits and vegetables 
4014,"Courgette, green, unpeeled, raw","Courgette, green, unpeeled, raw",VEGETABLE AND VEGETABLE PROCUCTS,,0.93,78,19,94.8,0.9,0.3,2.5,1.1,0.4,18,0.5,16,34,188,1,0.33,1,23,46,0,278,0.03,0.06,0.6,17,17,0,24,Other fruits and vegetables 
4045,"Broccoli, tops and stems, steamed (without salt)","Broccoli, tops and stems, steamed (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,137,33,89.4,3.2,0.3,2.6,3.6,1,60,0.6,18,69,275,18,0.52,0,22,44,0,262,0.08,0.19,0.4,28,28,0,74,Other fruits and vegetables 
4076,"Leeks, bulb and stem, boiled, drained (without salt)","Leeks, bulb and stem, boiled, drained (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,276,66,81.4,2,0.5,11.4,3.7,1,90,1.6,10,58,110,11,0.27,1,22,44,0,262,0.12,0.07,0.3,39,39,0,10,Other fruits and vegetables 
4055,"Capsicum (sweet peper), red, boiled, drained (without salt)","Capsicum (sweet peper), red, boiled, drained (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,127,30,91.3,2,0.2,4,2.1,0.5,4,0.3,4,25,100,2,0.17,1,21,42,0,254,0.03,0.04,0.7,30,30,0,117,Other fruits and vegetables 
4044,"Broccoli, tops and stems, boiled, drained (without salt)","Broccoli, tops and stems, boiled, drained (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,129,31,90.1,3,0.3,2.4,3.3,0.9,56,0.6,11,61,151,15,0.41,0,20,41,0,246,0.06,0.13,0.3,22,22,0,60,Other fruits and vegetables 
4009,"Capsicum (sweet peper), red, raw","Capsicum (sweet peper), red, raw",VEGETABLE AND VEGETABLE PROCUCTS,,0.4,110,26,92.4,1.7,0.2,3.5,1.8,0.4,4,0.3,6,24,174,2,0.2,1,21,41,0,246,0.04,0.05,1,52,52,0,156,Other fruits and vegetables 
4056,"Capsicum (sweet peper), red, grilled (without salt and fat)","Capsicum (sweet peper), red, grilled (without salt and fat)",VEGETABLE AND VEGETABLE PROCUCTS,,1,118,28,91.8,1.8,0.2,3.8,1.9,0.4,4,0.3,6,26,187,2,0.22,1,20,40,0,238,0.04,0.05,1,39,39,0,134,Other fruits and vegetables 
4021,"Leeks, bulb and stem, raw","Leeks, bulb and stem, raw",VEGETABLE AND VEGETABLE PROCUCTS,,0.65,229,54,84.5,1.7,0.4,9.5,3.1,0.8,78,1.8,14,54,202,17,0.3,1,20,40,0,242,0.14,0,0,64,64,0,21,Other fruits and vegetables 
4057,"Capsicum (sweet peper), red, baked (without salt)","Capsicum (sweet peper), red, baked (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,115,27,92.1,1.8,0.2,3.6,1.9,0.4,4,0.3,6,25,181,2,0.21,1,19,38,0,231,0.04,0.05,1,38,38,0,130,Other fruits and vegetables 
4005,"Cabbage, leaf head, Chinese, raw","Cabbage, leaf head, Chinese, raw",VEGETABLE AND VEGETABLE PROCUCTS,,0.92,40,10,97,0.9,0.3,0.4,1.1,0.4,36,1.4,10,40,250,16,0,1,16,32,0,190,0.03,0.04,0.4,170,170,0,20,Other fruits and vegetables 
4046,"Cabbage, leaf head, Chinese, boiled, drained (without salt)","Cabbage, leaf head, Chinese, boiled, drained (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,41,10,96.9,0.9,0.3,0.4,1.1,0.4,35,1.1,6,37,128,12,0.15,0,15,29,0,174,0.02,0.03,0.3,87,87,0,8,Other fruits and vegetables 
4047,"Cabbage, leaf head, Chinese, steamed (without salt)","Cabbage, leaf head, Chinese, steamed (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,41,10,96.9,0.9,0.3,0.4,1.1,0.4,35,1.2,9,39,217,14,0.18,0,15,29,0,174,0.02,0.04,0.3,104,104,0,11,Other fruits and vegetables 
4058,"Capsicum (sweet peper), yellow, boiled, drained (without salt)","Capsicum (sweet peper), yellow, boiled, drained (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,99,24,92.4,1.6,0.2,2.6,2.5,0.7,21,0.6,12,45,139,1,0.22,0,14,29,0,172,0.1,0.01,0.4,17,17,0,95,Other fruits and vegetables 
4010,"Capsicum (sweet peper), yellow, raw","Capsicum (sweet peper), yellow, raw",VEGETABLE AND VEGETABLE PROCUCTS,,0.46,86,21,93.4,1.4,0.2,2.3,2.2,0.6,19,1,17,43,242,2,0,0,14,28,0,166,0.14,0.02,0.59,30,30,0,127,Other fruits and vegetables 
4065,"Courgette, green, unpeeled, boiled, drained (without salt)","Courgette, green, unpeeled, boiled, drained (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,86,21,94.2,1,0.3,2.8,1.2,0.4,19,0.4,11,34,104,1,0.28,1,14,28,0,168,0.02,0.04,0.4,9,9,0,17,Other fruits and vegetables 
4059,"Capsicum (sweet peper), yellow, grilled (without salt and fat)","Capsicum (sweet peper), yellow, grilled (without salt and fat)",VEGETABLE AND VEGETABLE PROCUCTS,,1,93,22,92.9,1.5,0.2,2.4,2.4,0.7,21,0.7,19,47,260,2,0.28,0,13,27,0,161,0.14,0.02,0.6,23,23,0,109,Other fruits and vegetables 
4069,"Eggplant / Brinjal, different varieties, whole edible, stewed (without salt)","Eggplant / Brinjal, different varieties, whole edible, stewed (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,139,33,88.5,1.5,0.4,3.4,5,1.2,23,0.5,26,44,250,4,0.26,1,14,27,0,164,0.06,0.06,0.6,25,25,0,2,Other fruits and vegetables 
4060,"Capsicum (sweet peper), yellow, baked (without salt)","Capsicum (sweet peper), yellow, baked (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,90,22,93.1,1.4,0.2,2.4,2.3,0.6,20,0.7,18,45,252,2,0.27,0,13,26,0,156,0.13,0.02,0.6,22,22,0,106,Other fruits and vegetables 
4017,"Eggplant / Brinjal, different varieties, whole edible, raw","Eggplant / Brinjal, different varieties, whole edible, raw",VEGETABLE AND VEGETABLE PROCUCTS,,0.91,111,27,90.8,1.2,0.3,2.8,4,0.9,18,0.4,21,35,200,3,0.21,1,12,24,0,146,0.05,0.05,1,29,29,0,2,Other fruits and vegetables 
4068,"Eggplant / Brinjal, different varieties, whole edible, boiled, drained (without salt)","Eggplant / Brinjal, different varieties, whole edible, boiled, drained (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,119,29,90.1,1.3,0.3,3,4.3,1,19,0.3,14,34,108,2,0.17,0,12,24,0,141,0.03,0.03,0.4,16,16,0,1,Other fruits and vegetables 
4002,"Bitter gourd, whole, different varieties, raw","Bitter gourd, whole, different varieties, raw",VEGETABLE AND VEGETABLE PROCUCTS,,0.97,135,32,89.6,1.5,[0.2],4.2,3.7,0.8,22,1.4,20,51,210,16,0.37,5,11,21,0,126,0.07,0.04,0.3,45,45,0,60,Other fruits and vegetables 
4041,"Bitter gourd, whole, different varieties, boiled, drained (without salt)","Bitter gourd, whole, different varieties, boiled, drained (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,150,36,88.4,1.7,0.3,4.6,4.1,0.9,23,1.2,13,51,117,14,0.31,5,11,21,0,126,0.05,0.03,0.2,25,25,0,43,Other fruits and vegetables 
4026,"Okra, fresh, raw       ","Okra, fresh, raw       ",VEGETABLE AND VEGETABLE PROCUCTS,,0.74,136,32,90,2,0.2,3.5,3.7,0.7,81,0.8,57,63,303,8,0.6,1,9,19,0,112,0.1,0.06,1,88,88,0,21,Other fruits and vegetables 
4081,"Okra, fresh, stewed (without salt)","Okra, fresh, stewed (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,,147,35,88.7,2.2,0.2,6.1,4,1.8,84,0.7,56,65,280,7,0.59,1,9,18,0,109,0.08,0.06,0.9,57,57,0,17,Other fruits and vegetables 
4080,"Okra, fresh, boiled, drained (without salt)","Okra, fresh, boiled, drained (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,123,29,90.5,1.8,0.2,4.1,3.4,0.6,70,0.5,31,52,138,5,0.41,1,8,15,0,91,0.05,0.04,0.6,40,40,0,12,Other fruits and vegetables 
4025,"Mushroom, raw, canned in brine (drained)","Mushroom, raw, canned in brine (drained)",VEGETABLE AND VEGETABLE PROCUCTS,,1,73,18,93,1.5,0.4,0.2,3.7,1.2,4,1,4,54,24,300,0,16,4,7,0,42,0.23,0.05,1.3,22,22,0,3,Other fruits and vegetables 
4097,"Tomato, green, boiled, drained (without salt)","Tomato, green, boiled, drained (without salt)",VEGETABLE AND VEGETABLE PROCUCTS,,1,121,29,91.3,1.4,0.3,4.2,2.1,0.8,10,0.4,10,26,144,13,0.15,10,3,6,0,37,0.07,0.04,0.4,6,6,0,14,Other fruits and vegetables 
