FCT_id,food_grp_id,food_item_id,Food_grp,Food_name,Crop_ref,Edible,Energy,WATER,Protein,Fat,Carbohydrate,Fiber,ASH,CA,FE,MG,P,K,NA,ZN,CU,VITA_RAE,RETOL,B_Cart_eq,VITD,VITE,THIA,RIBF,NIA,VITB6C,FOL,VITB12,VITC,food_group_unicef
7323,7,323,Meat and poultry and their products,Chicken@ light meat@ flesh,,0.55,108,74.5,23.6,1.4,0,0,1,9,0.6,28,204,305,64,0.84,0.05,8,8,0,0.2,0.18,0.1,0.12,10.7,0.53,9,,0,Flesh foods 
7326,7,326,Meat and poultry and their products,Chicken@ light meat@ flesh and skin,,0.72,180,69.1,19.5,11.4,0,0,0.9,11,0.7,23,155,243,71,0.92,0.04,19,19,0,0.2,0.24,0.08,0.12,8.5,0.42,14,0.4,0,Flesh foods 
7329,7,329,Meat and poultry and their products,Chicken giblets,,1,132,73.9,17.5,6.3,1.3,0,1,10,6.3,18,184,239,80,3.06,0.29,4080,4080,0,,0.71,0.1,0.56,6.3,0.36,438,11.4,14.1,Flesh foods 
7333,7,333,Meat and poultry and their products,Mole cricket@ blanched,,,130,71.2,15.4,6.3,1.5,2.9,2.7,76,41.7,,254,268,97,,,,,,,,0.2,1.89,4.8,,,,,Flesh foods 
7334,7,334,Meat and poultry and their products,Crocodile,,,121,71.7,19.4,4.8,0,0,1,,,,,,,,,,,,,,,,,,,,,Flesh foods 
7336,7,336,Meat and poultry and their products,Goat@ meat,,0.74,165,68,17.5,10.6,0,0,1.1,11,2.4,27,150,385,82,3.45,0.16,0,0,0,,0.18,0.18,0.29,6.1,0.4,5,1.1,0,Flesh foods 
7341,7,341,Meat and poultry and their products,Lamb@ brain,,0.98,118,79.2,10.4,8.6,0,0,1.3,9,1.8,12,270,296,112,1.17,0.24,0,0,0,,,0.13,0.3,3.9,0.29,3,11.3,16,Flesh foods 
7343,7,343,Meat and poultry and their products,Lamb@ liver,,1,132,71.4,20.2,4.5,2.5,0,1.4,9,8.7,19,364,313,70,4.66,6.98,4970,4950,244,1.2,0.77,0.32,3.07,13,0.9,230,90.1,4,Flesh foods 
7346,7,346,Meat and poultry and their products,Mopanie worm@ canned,,,97,77.3,14.1,3.6,0.7,2.6,1.7,39,7,36,123,232,234,3.18,0.21,,,,,,0.13,1.13,2.7,,,,0,Flesh foods 
7353,7,353,Meat and poultry and their products,Sausage@ wiener (beef@ pork@ chicken) canned,,1,225,64.9,10.5,19.4,2.6,0,2.6,10,0.9,7,49,101,969,1.6,0.03,0,0,0,0.6,0.22,0.09,0.11,1.6,0.12,4,1,0,Flesh foods 
8354,8,354,Eggs and their products,Egg@ chicken,,0.88,138,76.2,12.6,9.5,0.7,0,1.1,56,1.8,12,198,138,142,1.29,0.07,160,160,5,2,1.05,0.04,0.46,0.1,0.17,47,0.9,0,Eggs 
9358,9,358,Fish and their products,Anchovy@ fillet,,1,110,72.8,19.1,3.7,0,0,1.4,109,3.1,32,204,438,104,1.74,0.22,15,15,0,2.9,0.57,0.06,0.26,17,0.14,9,0.6,,Flesh foods 
9361,9,361,Fish and their products,Sardine,,0.52,104,74.9,19.4,2.9,0,0,2.5,71,1.8,35,281,499,77,1.57,0.07,19,18,6,11,0.73,0.02,0.21,9.4,0.96,4,11,,Flesh foods 
9362,9,362,Fish and their products,Tuna,,0.58,136,70.4,23.3,5.1,0,0,1.5,14,1.1,40,249,349,51,0.45,0.08,26,26,0,6.5,1.1,0.16,0.14,13.5,0.69,15,5.1,,Flesh foods 
9363,9,363,Fish and their products,White grouper,,0.6,88,77.9,19.4,1,0,0,1.3,31,1.2,33,175,483,53,0.89,0.03,43,43,0,0.8,0.26,0.07,0.03,3.4,0.3,9,1,,Flesh foods 
9364,9,364,Fish and their products,African carp,,0.54,69,78.9,15.7,0.6,0,0,1.3,13,0.7,33,144,313,57,1.3,0.05,1,1,0,2.6,0.07,0.09,0.06,1.9,0.16,14,1.6,,Flesh foods 
9369,9,369,Fish and their products,Anchovy@ canned ,,1,203,50.3,28.9,9.7,0,0,11.1,232,4.6,69,252,544,3670,2.44,0.34,12,12,0,1.7,3.33,0.08,0.36,19.9,0.2,13,0.9,,Flesh foods 
9372,9,372,Fish and their products,Bayad,,0.6,80,79.8,17.1,1.2,0,0,1.2,61,1.2,28,197,est,51,0.64,0.06,2,2,0,0.9,0.3,0.19,0.05,1.2,0.26,8,1.8,,Flesh foods 
9375,9,375,Fish and their products,Catfish,,0.52,117,76.5,16.3,5.7,0,0,1,38,0.9,30,191,304,48,0.6,0.05,25,25,0,8.6,0.58,0.12,0.06,1.4,0.29,8,2.3,,Flesh foods 
9378,9,378,Fish and their products,Carp,,0.54,119,76.6,17.2,5.6,0,0,1.3,44,1.1,33,328,347,46,1.24,0.06,9,9,0,24.7,0.63,0.1,0.06,2.1,0.18,15,1.8,,Flesh foods 
9382,9,382,Fish and their products,Mackerel@ grilled,,0.64,180,60.1,28.5,7.3,0,0,2.1,40,1,43,273,549,73,0.71,0.08,45,45,0,8.5,0.8,0.18,0.18,6.8,0.52,1,3.1,,Flesh foods 
9383,9,383,Fish and their products,Mormyrids,,0.52,84,79.5,17.8,1.3,0,0,1.1,123,1.1,29,268,321,41,0.6,0.06,12,12,0,1,0.32,0.05,0.09,0.9,0.3,9,2,,Flesh foods 
9389,9,389,Fish and their products,Perch@ Nile,,0.61,99,76.1,19.9,2,0,0,1.2,89,0.7,39,176,300,58,1.1,0.09,6,6,0,1.2,1.9,0.07,0.07,2.8,0.12,5,1.9,,Flesh foods 
9394,9,394,Fish and their products,Sardines in oil,,1,220,57.9,24.7,13.5,0,0,3.5,382,2.9,39,490,397,505,1.31,0.19,32,32,0,12,2.04,0.08,0.23,5.2,0.17,10,8.9,,Flesh foods 
9395,9,395,Fish and their products,Shiny-nose,,0.6,87,78.3,19.8,0.7,0,0,1.6,177,0.2,31,148,340,74,0.51,0.06,7,7,0,0.5,0.17,0.08,0.1,3.5,0.32,9,2.2,,Flesh foods 
9398,9,398,Fish and their products,Tilapia,,0.65,100,76.5,18.8,2.7,0,0,1.7,17,1.3,36,275,378,52,0.83,0.06,26,26,0,3.1,0.4,0.04,0.06,3.5,0.24,24,1.6,,Flesh foods 
10406,10,406,Milk and their products,Milk@ cow@ powder@ whole,,1,495,3.7,25.9,26.6,37.9,0,5.9,968,0.7,91,735,1160,370,3.51,0.06,228,218,129,1.2,0.5,0.3,1.32,0.7,0.25,39,3.3,11.3,Dairy products 
10410,10,410,Milk and their products,Cheddar,,1,392,37.4,24.7,32.3,1.7,0,3.9,788,0.8,30,532,82,487,3.78,0.07,265,258,85,0.3,1.15,0.03,0.38,0.1,0.07,18,0.8,,Dairy products 
10411,10,411,Milk and their products,Cheese@ goat@ hard type,,1,445,29,30.5,35.6,1.2,0,3.7,895,1.9,54,729,48,346,1.59,0.63,486,478,91,0.7,0.31,0.14,1.19,2.4,0.08,4,0.1,0,Dairy products 
